Code,Year,Estimate,MOE,source,sumlevel,geoid,county,state,st,cnty,fips,Line_Type,Tenure,Units in structure,Home value,Household income
T18A_est1,2015,1320,96,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Total,Total: Owner occupied with a mortgage,All,All,NA
T18A_est2,2015,1160,92,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Subtotal,Owner occupied with a mortgage,One unit in structure,All,All
T18A_est3,2015,315,60,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Subtotal,Owner occupied with a mortgage,One unit in structure,Value less than or equal to VHUD50,All
T18A_est4,2015,30,23,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied with a mortgage,One unit in structure,Value less than or equal to VHUD50,less than or equal to 30% of HAMFI
T18A_est5,2015,30,15,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied with a mortgage,One unit in structure,Value less than or equal to VHUD50,greater than 30% of HAMFI but less than or equal to 50% of HAMFI
T18A_est6,2015,80,33,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied with a mortgage,One unit in structure,Value less than or equal to VHUD50,greater than 50% of HAMFI but less than or equal to 80% of HAMFI
T18A_est7,2015,35,15,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied with a mortgage,One unit in structure,Value less than or equal to VHUD50,greater than 80% of HAMFI but less than or equal to 100% of HAMFI
T18A_est8,2015,140,40,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied with a mortgage,One unit in structure,Value less than or equal to VHUD50,greater than 100% of HAMFI
T18A_est9,2015,470,55,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Subtotal,Owner occupied with a mortgage,One unit in structure,Value greater than VHUD50 and less than or equal to VHUD80,All
T18A_est10,2015,40,18,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied with a mortgage,One unit in structure,Value greater than VHUD50 and less than or equal to VHUD80,less than or equal to 30% of HAMFI
T18A_est11,2015,40,21,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied with a mortgage,One unit in structure,Value greater than VHUD50 and less than or equal to VHUD80,greater than 30% of HAMFI but less than or equal to 50% of HAMFI
T18A_est12,2015,70,28,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied with a mortgage,One unit in structure,Value greater than VHUD50 and less than or equal to VHUD80,greater than 50% of HAMFI but less than or equal to 80% of HAMFI
T18A_est13,2015,65,27,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied with a mortgage,One unit in structure,Value greater than VHUD50 and less than or equal to VHUD80,greater than 80% of HAMFI but less than or equal to 100% of HAMFI
T18A_est14,2015,255,36,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied with a mortgage,One unit in structure,Value greater than VHUD50 and less than or equal to VHUD80,greater than 100% of HAMFI
T18A_est15,2015,115,37,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Subtotal,Owner occupied with a mortgage,One unit in structure,Value greater than VHUD80 and less than or equal to VHUD100,All
T18A_est16,2015,0,17,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied with a mortgage,One unit in structure,Value greater than VHUD80 and less than or equal to VHUD100,less than or equal to 30% of HAMFI
