Code,Year,Estimate,MOE,source,sumlevel,geoid,county,state,st,cnty,fips,Line_Type,Tenure,Units in structure,Home value,Household income
T18B_est1,2015,1025,88,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Total,Total: Owner occupied with no mortgage,All,All,NA
T18B_est2,2015,840,80,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Subtotal,Owner occupied with no mortgage,One unit in structure,All,All
T18B_est3,2015,330,51,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Subtotal,Owner occupied with no mortgage,One unit in structure,Value less than or equal to VHUD50,All
T18B_est4,2015,85,23,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied with no mortgage,One unit in structure,Value less than or equal to VHUD50,less than or equal to 30% of HAMFI
T18B_est5,2015,55,22,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied with no mortgage,One unit in structure,Value less than or equal to VHUD50,greater than 30% of HAMFI but less than or equal to 50% of HAMFI
T18B_est6,2015,90,34,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied with no mortgage,One unit in structure,Value less than or equal to VHUD50,greater than 50% of HAMFI but less than or equal to 80% of HAMFI
T18B_est7,2015,20,12,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied with no mortgage,One unit in structure,Value less than or equal to VHUD50,greater than 80% of HAMFI but less than or equal to 100% of HAMFI
T18B_est8,2015,80,29,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied with no mortgage,One unit in structure,Value less than or equal to VHUD50,greater than 100% of HAMFI
T18B_est9,2015,225,43,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Subtotal,Owner occupied with no mortgage,One unit in structure,Value greater than VHUD50 and less than or equal to VHUD80,All
T18B_est10,2015,25,15,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied with no mortgage,One unit in structure,Value greater than VHUD50 and less than or equal to VHUD80,less than or equal to 30% of HAMFI
T18B_est11,2015,55,26,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied with no mortgage,One unit in structure,Value greater than VHUD50 and less than or equal to VHUD80,greater than 30% of HAMFI but less than or equal to 50% of HAMFI
T18B_est12,2015,40,17,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied with no mortgage,One unit in structure,Value greater than VHUD50 and less than or equal to VHUD80,greater than 50% of HAMFI but less than or equal to 80% of HAMFI
T18B_est13,2015,30,16,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied with no mortgage,One unit in structure,Value greater than VHUD50 and less than or equal to VHUD80,greater than 80% of HAMFI but less than or equal to 100% of HAMFI
T18B_est14,2015,75,32,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied with no mortgage,One unit in structure,Value greater than VHUD50 and less than or equal to VHUD80,greater than 100% of HAMFI
T18B_est15,2015,130,45,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Subtotal,Owner occupied with no mortgage,One unit in structure,Value greater than VHUD80 and less than or equal to VHUD100,All
