Code,Year,Estimate,MOE,source,sumlevel,geoid,county,state,st,cnty,fips,Line_Type,Tenure,Units in structure,Rent,Household income
T18C_est1,2015,540,90,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Total,Total: Renter occupied,All,All,NA
T18C_est2,2015,380,77,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Subtotal,Renter occupied,One unit in structure,All,All
T18C_est3,2015,90,41,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Subtotal,Renter occupied,One unit in structure,less than or equal to RHUD30,All
T18C_est4,2015,30,27,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Renter occupied,One unit in structure,less than or equal to RHUD30,less than or equal to 30% of HAMFI
T18C_est5,2015,30,18,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Renter occupied,One unit in structure,less than or equal to RHUD30,greater than 30% of HAMFI but less than or equal to 50% of HAMFI
T18C_est6,2015,20,19,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Renter occupied,One unit in structure,less than or equal to RHUD30,greater than 50% of HAMFI but less than or equal to 80% of HAMFI
T18C_est7,2015,4,2,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Renter occupied,One unit in structure,less than or equal to RHUD30,greater than 80% of HAMFI but less than or equal to 100% of HAMFI
T18C_est8,2015,4,2,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Renter occupied,One unit in structure,less than or equal to RHUD30,greater than 100% of HAMFI
T18C_est9,2015,120,55,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Subtotal,Renter occupied,One unit in structure,greater than RHUD30 and less than or equal to RHUD50,All
T18C_est10,2015,60,35,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Renter occupied,One unit in structure,greater than RHUD30 and less than or equal to RHUD50,less than or equal to 30% of HAMFI
T18C_est11,2015,10,12,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Renter occupied,One unit in structure,greater than RHUD30 and less than or equal to RHUD50,greater than 30% of HAMFI but less than or equal to 50% of HAMFI
T18C_est12,2015,4,11,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Renter occupied,One unit in structure,greater than RHUD30 and less than or equal to RHUD50,greater than 50% of HAMFI but less than or equal to 80% of HAMFI
T18C_est13,2015,4,9,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Renter occupied,One unit in structure,greater than RHUD30 and less than or equal to RHUD50,greater than 80% of HAMFI but less than or equal to 100% of HAMFI
