Code,Year,Estimate,MOE,source,sumlevel,geoid,county,state,st,cnty,fips,Line_Type,Tenure,Household income,Household type,Cost burden
T7_est1,2015,2885,85,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Total,Total: Occupied housing units,All,All,All
T7_est2,2015,2345,105,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Subtotal,Owner occupied,All,All,All
T7_est3,2015,250,51,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Subtotal,Owner occupied,household income is less than or equal to 30% of HAMFI,All,All
T7_est4,2015,20,14,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Subtotal,Owner occupied,household income is less than or equal to 30% of HAMFI,"household type is elderly family (2 persons, with either or both age 62 or over)",All
T7_est5,2015,4,3,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is less than or equal to 30% of HAMFI,"household type is elderly family (2 persons, with either or both age 62 or over)",housing cost burden is less than or equal to 30%
T7_est6,2015,10,12,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is less than or equal to 30% of HAMFI,"household type is elderly family (2 persons, with either or both age 62 or over)",housing cost burden is greater than 30% but less than or equal to 50%
T7_est7,2015,10,10,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is less than or equal to 30% of HAMFI,"household type is elderly family (2 persons, with either or both age 62 or over)",housing cost burden is greater than 50%
T7_est8,2015,0,17,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is less than or equal to 30% of HAMFI,"household type is elderly family (2 persons, with either or both age 62 or over)",housing cost burden not computed (household has no/negative income)
T7_est9,2015,75,32,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Subtotal,Owner occupied,household income is less than or equal to 30% of HAMFI,"household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons)",All
T7_est10,2015,15,17,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is less than or equal to 30% of HAMFI,"household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons)",housing cost burden is less than or equal to 30%
T7_est11,2015,4,17,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is less than or equal to 30% of HAMFI,"household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons)",housing cost burden is greater than 30% but less than or equal to 50%
T7_est12,2015,50,25,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is less than or equal to 30% of HAMFI,"household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons)",housing cost burden is greater than 50%
T7_est13,2015,4,4,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is less than or equal to 30% of HAMFI,"household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons)",housing cost burden not computed (household has no/negative income)
T7_est14,2015,10,14,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Subtotal,Owner occupied,household income is less than or equal to 30% of HAMFI,household type is large family (5 or more persons),All
T7_est15,2015,0,17,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is less than or equal to 30% of HAMFI,household type is large family (5 or more persons),housing cost burden is less than or equal to 30%
T7_est16,2015,4,17,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is less than or equal to 30% of HAMFI,household type is large family (5 or more persons),housing cost burden is greater than 30% but less than or equal to 50%
T7_est17,2015,10,15,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is less than or equal to 30% of HAMFI,household type is large family (5 or more persons),housing cost burden is greater than 50%
T7_est18,2015,0,17,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is less than or equal to 30% of HAMFI,household type is large family (5 or more persons),housing cost burden not computed (household has no/negative income)
T7_est19,2015,115,38,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Subtotal,Owner occupied,household income is less than or equal to 30% of HAMFI,household type is elderly non-family,All
T7_est20,2015,45,31,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is less than or equal to 30% of HAMFI,household type is elderly non-family,housing cost burden is less than or equal to 30%
T7_est21,2015,30,16,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is less than or equal to 30% of HAMFI,household type is elderly non-family,housing cost burden is greater than 30% but less than or equal to 50%
T7_est22,2015,35,18,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is less than or equal to 30% of HAMFI,household type is elderly non-family,housing cost burden is greater than 50%
T7_est23,2015,4,11,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is less than or equal to 30% of HAMFI,household type is elderly non-family,housing cost burden not computed (household has no/negative income)
T7_est24,2015,30,17,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Subtotal,Owner occupied,household income is less than or equal to 30% of HAMFI,other household type (non-elderly non-family),All
T7_est25,2015,10,13,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is less than or equal to 30% of HAMFI,other household type (non-elderly non-family),housing cost burden is less than or equal to 30%
T7_est26,2015,10,12,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is less than or equal to 30% of HAMFI,other household type (non-elderly non-family),housing cost burden is greater than 30% but less than or equal to 50%
T7_est27,2015,10,9,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is less than or equal to 30% of HAMFI,other household type (non-elderly non-family),housing cost burden is greater than 50%
T7_est28,2015,4,4,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is less than or equal to 30% of HAMFI,other household type (non-elderly non-family),housing cost burden not computed (household has no/negative income)
T7_est29,2015,295,55,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Subtotal,Owner occupied,household income is greater than 30% but less than or equal to 50% of HAMFI,All,All
T7_est30,2015,75,22,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Subtotal,Owner occupied,household income is greater than 30% but less than or equal to 50% of HAMFI,"household type is elderly family (2 persons, with either or both age 62 or over)",All
T7_est31,2015,45,16,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 30% but less than or equal to 50% of HAMFI,"household type is elderly family (2 persons, with either or both age 62 or over)",housing cost burden is less than or equal to 30%
T7_est32,2015,25,19,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 30% but less than or equal to 50% of HAMFI,"household type is elderly family (2 persons, with either or both age 62 or over)",housing cost burden is greater than 30% but less than or equal to 50%
T7_est33,2015,4,2,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 30% but less than or equal to 50% of HAMFI,"household type is elderly family (2 persons, with either or both age 62 or over)",housing cost burden is greater than 50%
T7_est34,2015,0,17,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 30% but less than or equal to 50% of HAMFI,"household type is elderly family (2 persons, with either or both age 62 or over)",housing cost burden not computed (household has no/negative income)
T7_est35,2015,60,25,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Subtotal,Owner occupied,household income is greater than 30% but less than or equal to 50% of HAMFI,"household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons)",All
T7_est36,2015,15,13,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 30% but less than or equal to 50% of HAMFI,"household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons)",housing cost burden is less than or equal to 30%
T7_est37,2015,25,15,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 30% but less than or equal to 50% of HAMFI,"household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons)",housing cost burden is greater than 30% but less than or equal to 50%
T7_est38,2015,20,14,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 30% but less than or equal to 50% of HAMFI,"household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons)",housing cost burden is greater than 50%
T7_est39,2015,0,17,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 30% but less than or equal to 50% of HAMFI,"household type is small family (2 persons, neither person 62 years or over, or 3 or 4 persons)",housing cost burden not computed (household has no/negative income)
T7_est40,2015,4,10,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Subtotal,Owner occupied,household income is greater than 30% but less than or equal to 50% of HAMFI,household type is large family (5 or more persons),All
T7_est41,2015,4,10,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 30% but less than or equal to 50% of HAMFI,household type is large family (5 or more persons),housing cost burden is less than or equal to 30%
T7_est42,2015,0,17,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 30% but less than or equal to 50% of HAMFI,household type is large family (5 or more persons),housing cost burden is greater than 30% but less than or equal to 50%
T7_est43,2015,0,17,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 30% but less than or equal to 50% of HAMFI,household type is large family (5 or more persons),housing cost burden is greater than 50%
T7_est44,2015,0,17,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 30% but less than or equal to 50% of HAMFI,household type is large family (5 or more persons),housing cost burden not computed (household has no/negative income)
T7_est45,2015,135,39,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Subtotal,Owner occupied,household income is greater than 30% but less than or equal to 50% of HAMFI,household type is elderly non-family,All
T7_est46,2015,80,30,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 30% but less than or equal to 50% of HAMFI,household type is elderly non-family,housing cost burden is less than or equal to 30%
T7_est47,2015,20,15,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 30% but less than or equal to 50% of HAMFI,household type is elderly non-family,housing cost burden is greater than 30% but less than or equal to 50%
T7_est48,2015,30,21,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 30% but less than or equal to 50% of HAMFI,household type is elderly non-family,housing cost burden is greater than 50%
T7_est49,2015,0,17,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 30% but less than or equal to 50% of HAMFI,household type is elderly non-family,housing cost burden not computed (household has no/negative income)
T7_est50,2015,20,16,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Subtotal,Owner occupied,household income is greater than 30% but less than or equal to 50% of HAMFI,other household type (non-elderly non-family),All
T7_est51,2015,10,13,2011thru2015,50,05000US51036,Charles City County, Virginia,51,36,51036,Detail,Owner occupied,household income is greater than 30% but less than or equal to 50% of HAMFI,other household type (non-elderly non-family),housing cost burden is less than or equal to 30%
