Code,Year,Estimate,MOE,source,sumlevel,geoid,county,state,st,cnty,fips,Line_Type,Tenure,Race/ethnicity,Cost burden
T9_est1,2015,2885,85,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Total,Total: Occupied housing units,All,All
T9_est2,2015,2345,105,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Subtotal,Owner occupied,All,All
T9_est3,2015,1045,56,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Subtotal,Owner occupied,"White alone, non-Hispanic",All
T9_est4,2015,810,56,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied,"White alone, non-Hispanic",less than or equal to 30%
T9_est5,2015,140,42,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied,"White alone, non-Hispanic",greater than 30% but less than or equal to 50%
T9_est6,2015,95,30,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied,"White alone, non-Hispanic",greater than 50%
T9_est7,2015,4,17,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied,"White alone, non-Hispanic",not computed (no/negative income)
T9_est8,2015,1035,67,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Subtotal,Owner occupied,"Black or African-American alone, non-Hispanic",All
T9_est9,2015,715,59,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied,"Black or African-American alone, non-Hispanic",less than or equal to 30%
T9_est10,2015,200,40,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied,"Black or African-American alone, non-Hispanic",greater than 30% but less than or equal to 50%
T9_est11,2015,105,37,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied,"Black or African-American alone, non-Hispanic",greater than 50%
T9_est12,2015,10,10,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied,"Black or African-American alone, non-Hispanic",not computed (no/negative income)
T9_est13,2015,10,14,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Subtotal,Owner occupied,"Asian alone, non-Hispanic",All
T9_est14,2015,4,17,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied,"Asian alone, non-Hispanic",less than or equal to 30%
T9_est15,2015,4,2,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied,"Asian alone, non-Hispanic",greater than 30% but less than or equal to 50%
T9_est16,2015,4,17,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied,"Asian alone, non-Hispanic",greater than 50%
T9_est17,2015,0,17,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied,"Asian alone, non-Hispanic",not computed (no/negative income)
T9_est18,2015,165,23,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Subtotal,Owner occupied,"American Indian or Alaska Native alone, non-Hispanic",All
T9_est19,2015,145,20,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied,"American Indian or Alaska Native alone, non-Hispanic",less than or equal to 30%
T9_est20,2015,4,11,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied,"American Indian or Alaska Native alone, non-Hispanic",greater than 30% but less than or equal to 50%
T9_est21,2015,15,13,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied,"American Indian or Alaska Native alone, non-Hispanic",greater than 50%
T9_est22,2015,4,3,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied,"American Indian or Alaska Native alone, non-Hispanic",not computed (no/negative income)
T9_est23,2015,0,17,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Subtotal,Owner occupied,"Pacific Islander alone, non-Hispanic",All
T9_est24,2015,0,17,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied,"Pacific Islander alone, non-Hispanic",less than or equal to 30%
T9_est25,2015,0,17,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied,"Pacific Islander alone, non-Hispanic",greater than 30% but less than or equal to 50%
T9_est26,2015,0,17,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied,"Pacific Islander alone, non-Hispanic",greater than 50%
T9_est27,2015,0,17,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied,"Pacific Islander alone, non-Hispanic",not computed (no/negative income)
T9_est28,2015,40,19,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Subtotal,Owner occupied,"Hispanic, any race",All
T9_est29,2015,25,18,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied,"Hispanic, any race",less than or equal to 30%
T9_est30,2015,10,14,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied,"Hispanic, any race",greater than 30% but less than or equal to 50%
T9_est31,2015,4,4,2011thru2015,050,05000US51036,Charles City County, Virginia,51,036,51036,Detail,Owner occupied,"Hispanic, any race",greater than 50%
