Period,# of Transactions,% of Search,Sales Volume,Average Sale Price,Building SF,Average Bldg SF,Average Price Per Bldg SF,Median Price Per Bldg SF,Land Acres,Average Acres,Average Price Per Acre,Median Price Per Acre,Land SF,Average Land SF,Average Price Per Land SF,Median Price Per Land SF,Sold Units,Average Units,Average Price Per Unit,Median Price Per Unit,Average Actual Cap Rate,Median Actual Cap Rate,Average GRM,Median GRM
Search,520 ,100.0% ,"$4,937,035,003 ","$10,264,106 ","40,088,638 ","77,094 ",$127.86 ,$128.00 ,"2,315.6 ",4.6 ,"$2,171,157 ","$3,197,582 ","100,865,868 ","198,946 ",$49.84 ,$73.41 ,"36,891 ",72 ,"$140,743 ","$125,000 ",6.2% ,6.0% ,12.0% ,11.8% 
2022 Q3 QTD,27 ,5.2% ,"$234,858,836 ","$8,698,475 ","1,413,689 ","52,359 ",$166.13 ,$185.51 ,45.5 ,1.7 ,"$5,160,916 ","$11,694,004 ","1,982,294 ","73,418 ",$118.48 ,$268.46 ,"1,023 ",38 ,"$229,579 ","$179,825 ",4.6% ,4.6% ,11.6% ,11.6% 
2022 Q2,27 ,5.2% ,"$670,132,324 ","$25,774,320 ","3,079,750 ","114,065 ",$218.03 ,$176.90 ,228.8 ,8.5 ,"$2,930,488 ","$3,597,920 ","9,964,725 ","369,064 ",$67.27 ,$82.60 ,"3,478 ",129 ,"$193,066 ","$153,928 ",5.4% ,4.0% ,-,-
2022 Q1,16 ,3.1% ,"$214,516,100 ","$15,322,579 ","2,989,729 ","186,858 ",$77.74 ,$141.91 ,119.2 ,7.5 ,"$1,835,068 ","$9,362,863 ","5,192,705 ","324,544 ",$42.13 ,$214.94 ,"1,843 ",115 ,"$130,247 ","$170,763 ",5.9% ,6.0% ,-,-
2021 Q4,39 ,7.5% ,"$840,047,606 ","$26,251,488 ","5,458,489 ","139,961 ",$155.22 ,$177.58 ,318.6 ,8.4 ,"$2,663,427 ","$5,326,244 ","13,876,378 ","365,168 ",$61.14 ,$122.27 ,"4,314 ",114 ,"$196,897 ","$184,043 ",4.8% ,4.4% ,-,-
2021 Q3,21 ,4.0% ,"$134,530,697 ","$7,473,928 ","595,928 ","28,378 ",$196.31 ,$158.33 ,50.6 ,2.7 ,"$2,658,246 ","$8,271,259 ","2,203,474 ","115,972 ",$61.02 ,$189.88 ,852 ,47 ,"$161,633 ","$120,103 ",-,-,-,-
2021 Q2,25 ,4.8% ,"$208,355,000 ","$8,334,200 ","1,371,004 ","54,840 ",$151.97 ,$146.95 ,93.4 ,3.7 ,"$2,229,595 ","$1,890,756 ","4,070,669 ","162,827 ",$51.18 ,$43.41 ,"1,407 ",61 ,"$146,923 ","$119,213 ",5.6% ,5.4% ,8.4% ,8.4% 
2021 Q1,17 ,3.3% ,"$35,066,596 ","$2,504,757 ","304,160 ","17,892 ",$117.86 ,$160.10 ,16.0 ,0.9 ,"$2,881,278 ","$4,140,816 ","696,076 ","40,946 ",$66.14 ,$95.06 ,375 ,22 ,"$101,056 ","$119,643 ",6.5% ,6.5% ,-,-
2020 Q4,25 ,4.8% ,"$450,259,310 ","$18,760,805 ","3,411,933 ","136,477 ",$132.14 ,$175.21 ,211.3 ,8.5 ,"$2,133,290 ","$5,575,391 ","9,203,501 ","368,140 ",$48.97 ,$127.99 ,"2,545 ",102 ,"$177,198 ","$171,875 ",5.7% ,5.4% ,-,-
2020 Q3,42 ,8.1% ,"$116,872,228 ","$2,921,806 ","1,383,906 ","32,950 ",$126.77 ,$91.39 ,93.5 ,2.2 ,"$1,686,417 ","$1,914,958 ","4,072,516 ","96,965 ",$38.71 ,$43.96 ,"1,885 ",45 ,"$98,129 ","$54,232 ",5.0% ,5.0% ,-,-
2020 Q2,9 ,1.7% ,"$15,198,750 ","$1,688,750 ","124,908 ","13,879 ",$121.68 ,$129.70 ,5.4 ,0.6 ,"$2,805,854 ","$7,750,000 ","235,956 ","26,217 ",$64.41 ,$177.92 ,161 ,18 ,"$94,402 ","$111,250 ",5.9% ,5.4% ,16.0% ,16.0% 
2020 Q1,14 ,2.7% ,"$64,990,000 ","$5,415,833 ","561,687 ","40,121 ",$132.20 ,$135.23 ,27.8 ,2.0 ,"$2,460,885 ","$2,405,502 ","1,213,111 ","86,651 ",$56.49 ,$55.22 ,588 ,45 ,"$131,196 ","$111,765 ",6.9% ,6.9% ,-,-
2019 Q4,35 ,6.7% ,"$315,911,001 ","$9,291,500 ","2,779,088 ","79,403 ",$113.79 ,$85.12 ,158.7 ,4.5 ,"$1,993,650 ","$1,320,155 ","6,911,927 ","197,484 ",$45.77 ,$30.31 ,"2,476 ",71 ,"$127,796 ","$80,639 ",8.0% ,8.0% ,-,-
2019 Q3,37 ,7.1% ,"$151,244,461 ","$4,201,235 ","1,640,136 ","44,328 ",$93.30 ,$118.76 ,86.4 ,2.3 ,"$1,755,309 ","$6,709,983 ","3,762,303 ","101,684 ",$40.30 ,$154.04 ,"1,606 ",43 ,"$95,242 ","$130,000 ",6.2% ,6.1% ,-,-
2019 Q2,22 ,4.2% ,"$348,628,380 ","$17,431,419 ","2,896,695 ","131,668 ",$121.89 ,$145.16 ,219.6 ,10.0 ,"$1,593,894 ","$1,903,343 ","9,566,334 ","434,833 ",$36.59 ,$43.69 ,"2,899 ",132 ,"$121,094 ","$110,278 ",5.3% ,5.5% ,-,-
2019 Q1,17 ,3.3% ,"$197,983,251 ","$13,198,883 ","1,474,433 ","86,731 ",$136.13 ,$93.19 ,47.8 ,2.8 ,"$4,170,009 ","$1,854,167 ","2,080,770 ","122,398 ",$95.73 ,$42.57 ,"1,351 ",84 ,"$147,325 ","$69,767 ",5.5% ,5.3% ,-,-
2018 Q4,27 ,5.2% ,"$157,297,000 ","$7,149,864 ","2,025,569 ","75,021 ",$110.23 ,$93.42 ,97.8 ,4.1 ,"$1,721,387 ","$2,169,049 ","4,262,072 ","177,586 ",$39.52 ,$49.79 ,"2,141 ",89 ,"$100,110 ","$72,362 ",6.2% ,6.1% ,-,-
