Month,"Sale Price, Median 2012","Sale Price, Median 2013","Sale Price, Median 2014","Sale Price, Median 2015","Sale Price, Median 2016","Sale Price, Median 2017","Sale Price, Median 2018","Sale Price, Median 2019","Sale Price, Median 2020","Sale Price, Median 2021","Sale Price, Median 2022"
Jan,"$152,500","$308,000","$165,000","$287,000","$199,250","$154,500","$238,000","$385,844","$213,500","$269,802","$459,950"
Feb,"$142,000","$173,500","$172,250","$185,000","$202,000","$332,265","$266,975","$212,500","$282,250","$195,000","$294,000"
Mar,"$165,000","$176,125","$163,000","$202,475","$255,000","$278,000","$235,000","$267,000","$350,000","$226,000","$335,000"
Apr,"$126,000","$147,750","$185,000","$229,000","$134,000","$208,950","$246,250","$250,000","$255,000","$349,500","$425,000"
May,"$246,500","$185,000","$179,900","$203,500","$215,000","$207,475","$170,000","$187,500","$278,000","$279,975","$311,000"
Jun,"$202,500","$164,890","$185,000","$220,000","$429,000","$237,500","$230,000","$235,000","$295,000","$407,986","$488,694"
Jul,"$150,828","$142,000","$186,025","$240,000","$168,000","$199,900","$175,952","$242,500","$188,000","$367,430","$541,721"
Aug,"$130,000","$150,000","$275,000","$159,975","$220,000","$185,000","$249,750","$213,250","$311,500","$365,000","$425,000"
Sep,"$137,488","$185,000","$227,500","$223,995","$217,000","$210,450","$225,000","$220,000","$244,500","$200,500","$285,000"
Oct,"$218,750","$222,250","$317,582","$210,000","$332,855","$227,000","$352,450","$250,000","$332,250","$472,669",
Nov,"$171,500","$230,000","$167,500","$222,200","$212,500","$397,005","$182,500","$235,000","$346,783","$297,813",
Dec,"$179,500","$247,500","$216,500","$210,500","$169,475","$230,000","$264,900","$232,500","$255,000","$345,500",
