"Distance","#","","PID","Status","Address","Zip","County/City","Prop Type","Type","# Bedrooms","Fin SF","Total Baths","Year Built","List Price","Sales Price","Days On Market","Sales Date","New/Resale","Sold Terms","Owned By"
"1.3 mi","1","2222666","7870-42-8966","CLOSD","206 Dewey ST","23005","Hanover","Residential","Single Family Residence","2","1,080","1.0","1986","$65,000","$212,929","22","10/04/2022","Resale (occupied at least once)","Cash","REO"
"3.0 mi","1","1814701","7778-86-4215 & 7778-86-4097","CLOSD","11806 Cobbs RD","23005","Hanover","Residential","Single Family Residence","2","1,085","1.0","1952","$65,000","$65,000","0","06/28/2018","Resale (occupied at least once)","Conventional","Individuals"
"1.3 mi","1","1926158","7789-34-8609","CLOSD","10478 Ashcake RD","23005","Hanover","Residential","Single Family Residence","2","816","1.0","1975","$85,000","$95,200","10","09/24/2019","Resale (occupied at least once)","Cash","REO"
"2.7 mi","1","1809413","7799-59-6025","CLOSD","12456 Leonard LN","23005","Hanover","Residential","Single Family Residence","2","1,248","1.0","1980","$99,950","$102,500","107","08/06/2018","Resale (occupied at least once)","Cash","Individuals"
"0.6 mi","1","2019643","7779-89-2564","CLOSD","309 Mac Murdo ST","23005","Hanover","Residential","Single Family Residence","2","752","1.0","1954","$100,000","$80,000","31","08/19/2020","Resale (occupied at least once)","Cash","Other"
"1.3 mi","1","1734687","7870-43-9538","CLOSD","412 Wesley ST","23005","Hanover","Residential","Single Family Residence","2","1,204","1.0","1955","$104,900","$125,000","8","10/18/2017","Resale (occupied at least once)","Cash","REO"
"1.2 mi","1","1800145","7880-71-6956","CLOSD","13097 Hill Top DR","23005","Hanover","Residential","Single Family Residence","2","832","1.0","1945","$110,000","$80,000","11","02/02/2018","Resale (occupied at least once)","Cash","Individuals"
"0.5 mi","1","1716341","7779-99-1474","CLOSD","646 S Taylor ST","23005","Hanover","Residential","Single Family Residence","2","780","1.0","1973","$114,000","$105,500","64","11/14/2017","Resale (occupied at least once)","Other","Individuals"
"1.0 mi","1","1816614","7779-96-4096","CLOSD","12303 Dabney LN","23005","Hanover","Residential","Single Family Residence","4","1,152","1.0","1953","$114,900","$106,000","80","09/19/2018","Resale (occupied at least once)","Cash","Corporate, REO"
"2.1 mi","1","2008367","7779-23-3723","CLOSD","12204 Elmont RD","23005","Hanover","Residential","Single Family Residence","2","724","1.0","1953","$115,000","$105,000","28","06/16/2020","Resale (occupied at least once)","Conventional","Individuals"
"1.1 mi","1","2135297","7870-64-6144","CLOSD","339 N Snead ST","23005","Hanover","Residential","Single Family Residence","3","992","1.1","1991","$116,910","$150,000","11","01/19/2022","Resale (occupied at least once)","Cash","REO"
"0.2 mi","1","1813875","7880-12-5070","CLOSD","25 Trotter Mill Close Unit#25","23005","Hanover","Residential","Condominium","1","788","1.0","1985","$119,900","$119,900","15","06/18/2018","Resale (occupied at least once)","VA Assumption","Individuals"
"0.4 mi","1","1829577","7779-99-4242","CLOSD","501 Pleasant ST","23005","Hanover","Residential","Single Family Residence","2","1,366","1.0","1955","$119,995","$108,000","8","09/05/2018","Resale (occupied at least once)","Cash","Corporate"
"4.1 mi","1","1837864","7777-69-3961","CLOSD","11186 Parrish LN","23059","Hanover","Residential","Single Family Residence","2","864","1.0","1945","$120,000","$117,000","30","12/28/2018","Resale (occupied at least once)","Conventional","REO"
"1.5 mi","1","1909821","7880-38-6026","CLOSD","10318 Jamestown RD","23005","Hanover","Residential","Single Family Residence","3","1,175","1.0","1965","$125,000","$110,100","5","04/16/2019","Resale (occupied at least once)","Cash","Individuals"
"1.5 mi","1","1824733","7880-38-7140","CLOSD","10312 Jamestown RD","23005","Hanover","Residential","Single Family Residence","3","1,088","1.0","1969","$125,000","$115,000","25","08/10/2018","Resale (occupied at least once)","Cash","Partnership"
"0.5 mi","1","1811941","7870-80-3196","CLOSD","103 Arlington Square Unit#-","23005","Hanover","Residential","Townhouse","3","1,277","1.1","1988","$129,000","$125,500","6","05/10/2018","Resale (occupied at least once)","Cash","Individuals"
"2.9 mi","1","2028745","7778-76-8080","CLOSD","11122 Cobbs RD","23059","Hanover","Residential","Single Family Residence","4","1,225","1.0","1972","$130,000","$141,000","16","11/04/2020","Resale (occupied at least once)","Cash","Estate"
