period,rent,rent_adj
2022 Q3,1253,1259
2022 Q2,1188,1207
2022 Q1,1138,1183
2021 Q4,1092,1160
2021 Q3,1087,1177
2021 Q2,995,1095
2021 Q1,972,1091
2020 Q4,959,1087
2020 Q3,995,1134
2020 Q2,978,1129
2020 Q1,978,1119
2019 Q4,944,1083
2019 Q3,942,1088
2019 Q2,935,1083
2019 Q1,927,1083
2018 Q4,901,1055
2018 Q3,900,1057
2018 Q2,892,1052
2018 Q1,868,1030
2017 Q4,867,1038
2017 Q3,855,1031
2017 Q2,863,1046
2017 Q1,827,1003
2016 Q4,819,1000
2016 Q3,825,1015
2016 Q2,817,1009
2016 Q1,815,1014
2015 Q4,813,1011
2015 Q3,803,998
2015 Q2,796,994
2015 Q1,793,997
2014 Q4,795,992
2014 Q3,792,986
2014 Q2,786,981
2014 Q1,794,996
2013 Q4,795,1004
2013 Q3,796,1009
2013 Q2,788,1005
2013 Q1,779,991
2012 Q4,776,992
2012 Q3,772,993
2012 Q2,770,995
2012 Q1,767,993
2011 Q4,764,995
2011 Q3,762,997
2011 Q2,760,1001
2011 Q1,758,1010
2010 Q4,761,1024
2010 Q3,773,1049
2010 Q2,779,1061
2010 Q1,775,1054
2009 Q4,762,1039
2009 Q3,753,1034
2009 Q2,755,1046
2009 Q1,769,1071
2008 Q4,774,1071
2008 Q3,777,1051
2008 Q2,767,1053
2008 Q1,764,1062
2007 Q4,764,1073
2007 Q3,764,1087
2007 Q2,756,1083
2007 Q1,741,1072
2006 Q4,731,1068
2006 Q3,727,1058
2006 Q2,721,1060
2006 Q1,710,1053
2005 Q4,702,1046
2005 Q3,699,1051
2005 Q2,694,1060
2005 Q1,692,1063
2004 Q4,690,1066
2004 Q3,683,1067
2004 Q2,681,1070
2004 Q1,687,1088
2003 Q4,683,1092
2003 Q3,674,1081
2003 Q2,667,1078
2003 Q1,680,1097
2002 Q4,687,1119
2002 Q3,692,1134
2002 Q2,680,1121
2002 Q1,678,1126
2001 Q4,679,1132
2001 Q3,689,1147
2001 Q2,695,1160
2001 Q1,690,1161
2000 Q4,690,1171
2000 Q3,686,1172
2000 Q2,681,1174
2000 Q1,675,1173
