Month,"Sale Price, Median 2017","Sale Price, Median 2018","Sale Price, Median 2019","Sale Price, Median 2020","Sale Price, Median 2021","Sale Price, Median 2022"
Jan,"$237,398 ","$244,975 ","$254,055 ","$267,500 ","$298,000 ","$350,000 "
Feb,"$240,600 ","$255,500 ","$250,000 ","$255,000 ","$319,755 ","$360,000 "
Mar,"$238,500 ","$255,000 ","$259,950 ","$275,200 ","$325,000 ","$370,618 "
Apr,"$235,000 ","$251,250 ","$264,900 ","$275,000 ","$330,000 ","$369,655 "
May,"$245,000 ","$251,900 ","$276,623 ","$284,950 ","$321,960 ","$380,000 "
Jun,"$260,560 ","$262,000 ","$280,000 ","$285,000 ","$335,000 ","$380,000 "
Jul,"$261,625 ","$267,750 ","$271,500 ","$291,000 ","$327,670 ","$378,671 "
Aug,"$258,000 ","$263,000 ","$275,000 ","$295,000 ","$347,750 ","$369,000 "
Sep,"$245,000 ","$260,000 ","$265,000 ","$305,000 ","$330,000 ",
Oct,"$237,718 ","$261,000 ","$267,503 ","$300,000 ","$327,750 ",
Nov,"$244,445 ","$264,500 ","$265,000 ","$293,000 ","$340,000 ",
Dec,"$257,950 ","$255,000 ","$270,460 ","$304,314 ","$329,505 ",
