table with row headers in column A and column headers in rows 3 through 4  (leading dots indicate sub-parts),,,,,,,,,,,,,,
"Annual and Cumulative Estimates of the Components of Resident Population Change for Counties in Virginia: April 1, 2020 to July 1, 2021",,,,,,,,,,,,,,
Geographic Area,"Annual Change, July 1, 2020 to July 1, 2021",,,,,,,"Cumulative Change, April 1, 2020 to July 1, 2021",,,,,,
,Total Population Change1,Natural Change,Vital Events,,Net Migration,,,Total Population Change1,Natural Change,Vital Events,,Net Migration,,
,,,Births,Deaths,Total,International2,Domestic,,,Births,Deaths,Total,International2,Domestic
Virginia,"10,230","8,340","93,037","84,697","1,935","10,930","-8,995","10,881","10,696","116,274","105,578",210,"11,504","-11,294"
".Accomack County, Virginia",-102,-242,318,560,137,32,105,-167,-302,392,694,137,32,105
".Albemarle County, Virginia","1,039",-77,991,"1,068","1,107",140,967,"1,140",-82,"1,229","1,311","1,220",144,"1,076"
".Alleghany County, Virginia",-175,-164,112,276,-14,-1,-13,-237,-208,134,342,-29,-1,-28
".Amelia County, Virginia",22,-84,111,195,106,1,105,3,-103,141,244,108,1,107
".Amherst County, Virginia",11,-158,291,449,166,7,159,-34,-222,356,578,188,7,181
".Appomattox County, Virginia",220,4,204,200,217,5,212,234,-14,245,259,250,5,245
".Arlington County, Virginia","-5,801","1,234","2,489","1,255","-6,936",749,"-7,685","-5,678","1,639","3,147","1,508","-7,230",794,"-8,024"
".Augusta County, Virginia",51,-482,476,958,529,26,503,76,-617,599,"1,216",694,29,665
".Bath County, Virginia",-82,-21,39,60,-59,2,-61,-95,-24,56,80,-69,2,-71
".Bedford County, Virginia",627,-430,631,"1,061","1,063",21,"1,042",669,-520,766,"1,286","1,203",21,"1,182"
".Bland County, Virginia",-74,-49,46,95,-25,0,-25,-97,-67,54,121,-30,0,-30
".Botetourt County, Virginia",252,-249,227,476,506,7,499,270,-295,280,575,574,7,567
".Brunswick County, Virginia",134,-107,122,229,244,6,238,91,-140,140,280,235,6,229
".Buchanan County, Virginia",-400,-228,156,384,-171,5,-176,-539,-293,196,489,-244,5,-249
".Buckingham County, Virginia",127,-69,141,210,197,0,197,123,-92,170,262,217,0,217
".Campbell County, Virginia",-146,-220,471,691,63,29,34,-204,-260,595,855,49,30,19
".Caroline County, Virginia",427,-47,309,356,476,6,470,445,-49,391,440,496,6,490
".Carroll County, Virginia",-82,-243,242,485,159,14,145,-107,-308,297,605,202,16,186
".Charles City County, Virginia",-139,-88,44,132,-51,0,-51,-179,-106,55,161,-71,0,-71
".Charlotte County, Virginia",-58,-80,110,190,20,1,19,-81,-105,139,244,23,1,22
".Chesterfield County, Virginia","5,122",461,"3,770","3,309","4,671",269,"4,402","6,140",575,"4,714","4,139","5,575",279,"5,296"
