Month,"Sale Price, Median 2017","Sale Price, Median 2018","Sale Price, Median 2019","Sale Price, Median 2020","Sale Price, Median 2021","Sale Price, Median 2022"
Jan,"$391,000 ","$501,193 ","$500,000 ","$412,000 ","$420,950 ","$420,000 "
Feb,"$526,000 ","$340,500 ","$416,250 ","$400,000 ","$369,000 ","$466,175 "
Mar,"$432,500 ","$304,000 ","$353,500 ","$393,750 ","$510,000 ","$558,713 "
Apr,"$385,000 ","$531,595 ","$363,500 ","$497,477 ","$459,385 ","$532,500 "
May,"$402,500 ","$424,208 ","$315,000 ","$344,500 ","$524,975 ","$525,000 "
Jun,"$427,500 ","$424,750 ","$404,950 ","$387,000 ","$450,000 ","$585,000 "
Jul,"$355,000 ","$429,000 ","$390,000 ","$416,750 ","$490,655 ","$534,441 "
Aug,"$408,487 ","$437,975 ","$441,975 ","$445,000 ","$453,988 ","$532,500 "
Sep,"$375,000 ","$325,000 ","$443,000 ","$429,960 ","$412,500 ","$567,980 "
Oct,"$392,456 ","$453,750 ","$470,000 ","$433,115 ","$475,000 ",
Nov,"$380,000 ","$615,000 ","$420,000 ","$447,550 ","$442,896 ",
Dec,"$450,000 ","$390,000 ","$296,437 ","$450,000 ","$485,883 ",
