Month,"Sale Price, Median 2017","Sale Price, Median 2018","Sale Price, Median 2019","Sale Price, Median 2020","Sale Price, Median 2021","Sale Price, Median 2022"
Jan,"$237,000 ","$275,000 ","$300,000 ","$313,345 ","$324,500 ","$380,000 "
Feb,"$266,235 ","$283,712 ","$289,500 ","$302,500 ","$340,000 ","$419,458 "
Mar,"$283,628 ","$305,000 ","$310,726 ","$326,090 ","$353,000 ","$410,000 "
Apr,"$280,165 ","$284,250 ","$322,500 ","$339,500 ","$364,950 ","$418,000 "
May,"$260,000 ","$291,000 ","$291,000 ","$319,900 ","$350,000 ","$402,000 "
Jun,"$285,000 ","$290,000 ","$320,000 ","$323,000 ","$382,500 ","$430,275 "
Jul,"$295,000 ","$301,250 ","$294,250 ","$341,000 ","$380,000 ","$464,000 "
Aug,"$285,000 ","$290,000 ","$299,950 ","$342,950 ","$364,975 ","$435,000 "
Sep,"$275,000 ","$272,500 ","$312,475 ","$343,000 ","$390,000 ",
Oct,"$296,000 ","$310,000 ","$313,704 ","$345,000 ","$390,000 ",
Nov,"$288,975 ","$278,950 ","$314,750 ","$333,762 ","$365,000 ",
Dec,"$287,660 ","$276,500 ","$323,000 ","$349,950 ","$367,475 ",
