Month,"Sale Price, Median 2017","Sale Price, Median 2018","Sale Price, Median 2019","Sale Price, Median 2020","Sale Price, Median 2021","Sale Price, Median 2022"
Jan,"$210,000 ","$220,000 ","$239,150 ","$254,475 ","$284,834 ","$300,000 "
Feb,"$226,250 ","$220,000 ","$237,000 ","$248,700 ","$287,350 ","$310,000 "
Mar,"$228,725 ","$242,000 ","$260,500 ","$275,000 ","$279,975 ","$340,000 "
Apr,"$232,250 ","$261,675 ","$259,450 ","$271,400 ","$315,000 ","$341,000 "
May,"$244,250 ","$271,950 ","$264,975 ","$269,900 ","$321,000 ","$365,000 "
Jun,"$240,475 ","$270,000 ","$273,975 ","$275,000 ","$332,458 ","$350,000 "
Jul,"$257,662 ","$258,500 ","$280,000 ","$293,720 ","$325,000 ","$370,000 "
Aug,"$240,000 ","$262,950 ","$272,000 ","$288,500 ","$319,000 ","$350,000 "
Sep,"$230,000 ","$240,000 ","$260,750 ","$285,000 ","$310,000 ","$349,950 "
Oct,"$221,000 ","$248,000 ","$253,500 ","$290,000 ","$316,500 ",
Nov,"$242,410 ","$246,000 ","$268,500 ","$292,500 ","$313,245 ",
Dec,"$247,000 ","$251,945 ","$272,500 ","$285,000 ","$301,205 ",
