Division,Name ,students,year
19,Charles City County Public Schools,22,19-20
21,Chesterfield County Public Schools,769,19-20
37,Goochland County Public Schools,16,19-20
42,Hanover County Public Schools,44,19-20
43,Henrico County Public Schools,922,19-20
63,New Kent County Public Schools,26,19-20
72,Powhatan County Public Schools,29,19-20
123,Richmond City Public Schools,852,19-20
21,Chesterfield County Public Schools,897,18-19
43,Henrico County Public Schools,1126,18-19
123,Richmond City Public Schools,1189,18-19
19,Charles City County Public Schools,16,18-19
37,Goochland County Public Schools,13,18-19
42,Hanover County Public Schools,59,18-19
63,New Kent County Public Schools,29,18-19
72,Powhatan County Public Schools,24,18-19
21,Chesterfield County Public Schools,885,17-18
43,Henrico County Public Schools,981,17-18
123,Richmond City Public Schools,1420,17-18
19,Charles City County Public Schools,23,17-18
37,Goochland County Public Schools,17,17-18
42,Hanover County Public Schools,64,17-18
63,New Kent County Public Schools,30,17-18
72,Powhatan County Public Schools,17,17-18
21,Chesterfield County Public Schools,715,16-17
43,Henrico County Public Schools,986,16-17
123,Richmond City Public Schools,1394,16-17
19,Charles City County Public Schools,26,16-17
37,Goochland County Public Schools,19,16-17
42,Hanover County Public Schools,44,16-17
63,New Kent County Public Schools,37,16-17
72,Powhatan County Public Schools,15,16-17
