Month,"Sale Price, Median 2017","Sale Price, Median 2018","Sale Price, Median 2019","Sale Price, Median 2020","Sale Price, Median 2021","Sale Price, Median 2022"
Jan,"$271,034 ","$273,200 ","$286,904 ","$315,450 ","$295,000 ","$360,000 "
Feb,"$295,748 ","$254,950 ","$306,033 ","$318,000 ","$310,000 ","$369,900 "
Mar,"$311,705 ","$295,000 ","$272,250 ","$296,450 ","$345,885 ","$380,670 "
Apr,"$279,950 ","$285,325 ","$316,260 ","$295,000 ","$354,818 ","$379,553 "
May,"$255,735 ","$285,000 ","$272,000 ","$309,000 ","$318,750 ","$401,995 "
Jun,"$253,375 ","$295,000 ","$284,900 ","$329,950 ","$352,500 ","$362,500 "
Jul,"$275,000 ","$277,000 ","$300,948 ","$308,000 ","$354,085 ","$389,655 "
Aug,"$252,000 ","$273,000 ","$277,500 ","$317,500 ","$354,990 ","$385,000 "
Sep,"$245,975 ","$262,000 ","$277,065 ","$317,672 ","$349,100 ",
Oct,"$290,000 ","$273,045 ","$276,430 ","$329,054 ","$355,250 ",
Nov,"$268,033 ","$290,000 ","$288,500 ","$351,807 ","$375,000 ",
Dec,"$262,620 ","$286,038 ","$312,500 ","$329,900 ","$374,000 ",
