Period,# of Transactions,% of Search,Sales Volume,Average Sale Price,Building SF,Average Bldg SF,Average Price Per Bldg SF,Median Price Per Bldg SF,Land Acres,Average Acres,Average Price Per Acre,Median Price Per Acre,Land SF,Average Land SF,Average Price Per Land SF,Median Price Per Land SF,Sold Units,Average Units,Average Price Per Unit,Median Price Per Unit,Average Actual Cap Rate,Median Actual Cap Rate,Average GRM,Median GRM
Search,253 ,100.0% ,"$1,042,279,215 ","$4,454,185 ","14,175,297 ","56,029 ",$77.60 ,$116.99 ,722.0 ,2.9 ,"$1,509,663 ","$2,569,686 ","31,449,462 ","126,303 ",$34.66 ,$58.99 ,"12,048 ",48 ,"$93,977 ","$97,334 ",6.7% ,6.5% ,13.2% ,11.9% 
2022 Q3 QTD,22 ,8.7% ,"$54,458,836 ","$2,475,402 ","314,126 ","14,278 ",$173.37 ,$185.51 ,6.7 ,0.3 ,"$8,085,824 ","$12,196,766 ","293,381 ","13,335 ",$185.63 ,$280.00 ,304 ,14 ,"$179,141 ","$172,562 ",5.7% ,5.7% ,11.6% ,11.6% 
2022 Q2,16 ,6.3% ,"$156,916,500 ","$10,461,100 ","1,194,309 ","74,644 ",$132.06 ,$165.83 ,81.4 ,5.1 ,"$1,930,712 ","$3,623,077 ","3,543,889 ","221,493 ",$44.32 ,$83.17 ,"1,359 ",85 ,"$116,063 ","$117,750 ",9.0% ,9.0% ,-,-
2022 Q1,7 ,2.8% ,"$178,967,000 ","$25,566,714 ","2,487,015 ","355,288 ",$71.96 ,$138.46 ,97.8 ,14.0 ,"$1,829,313 ","$4,378,378 ","4,261,601 ","608,800 ",$42.00 ,$100.51 ,"1,359 ",194 ,"$131,690 ","$130,405 ",5.0% ,5.0% ,-,-
2021 Q4,13 ,5.1% ,"$135,778,740 ","$15,086,527 ","1,889,765 ","145,367 ",$73.13 ,$163.01 ,93.7 ,7.8 ,"$1,487,639 ","$7,541,667 ","4,080,596 ","340,050 ",$34.15 ,$173.13 ,"1,015 ",78 ,"$138,691 ","$131,034 ",6.4% ,6.4% ,-,-
2021 Q3,8 ,3.2% ,"$7,034,631 ","$1,172,439 ","58,837 ","7,355 ",$129.73 ,$169.67 ,3.2 ,0.5 ,"$2,030,260 ","$6,548,732 ","137,684 ","22,947 ",$46.61 ,$150.34 ,52 ,10 ,"$123,493 ","$166,636 ",-,-,-,-
2021 Q2,8 ,3.2% ,"$20,730,000 ","$2,591,250 ","226,170 ","28,271 ",$91.66 ,$110.09 ,13.7 ,1.7 ,"$1,513,415 ","$1,866,639 ","596,663 ","74,583 ",$34.74 ,$42.85 ,277 ,35 ,"$74,838 ","$69,169 ",6.3% ,6.3% ,-,-
2021 Q1,5 ,2.0% ,"$3,065,000 ","$766,250 ","19,760 ","3,952 ",$171.00 ,$168.93 ,1.1 ,0.2 ,"$2,864,486 ","$3,321,154 ","49,658 ","9,932 ",$65.76 ,$76.24 ,26 ,5 ,"$139,318 ","$129,375 ",7.0% ,7.0% ,-,-
2020 Q4,5 ,2.0% ,"$4,873,747 ","$1,218,437 ","34,205 ","6,841 ",$163.52 ,$175.21 ,1.0 ,0.2 ,"$6,329,542 ","$6,572,525 ","43,124 ","8,625 ",$145.31 ,$150.88 ,26 ,5 ,"$221,534 ","$214,479 ",-,-,-,-
2020 Q3,26 ,10.3% ,"$28,349,639 ","$1,133,986 ","777,349 ","29,898 ",$88.93 ,$89.20 ,37.9 ,1.5 ,"$2,053,816 ","$1,922,412 ","1,651,508 ","63,520 ",$47.15 ,$44.13 ,"1,203 ",46 ,"$55,262 ","$54,232 ",5.0% ,5.0% ,-,-
