period,rent_infl,rent_cur,rent_infl_diff,rent_cur_diff
2022 Q3,1380,1380,-11,0
2022 Q2,1391,1380,-4,31
2022 Q1,1395,1349,18,45
2021 Q4,1377,1304,-17,9
2021 Q3,1394,1295,12,31
2021 Q2,1382,1264,31,53
2021 Q1,1351,1211,17,27
2020 Q4,1334,1184,1,7
2020 Q3,1333,1177,1,15
2020 Q2,1332,1162,35,21
2020 Q1,1297,1141,10,12
2019 Q4,1287,1129,-6,2
2019 Q3,1293,1127,-10,-5
2019 Q2,1303,1132,9,16
2019 Q1,1294,1116,17,18
2018 Q4,1277,1098,0,4
2018 Q3,1277,1094,-3,2
2018 Q2,1280,1092,14,18
2018 Q1,1266,1074,7,15
2017 Q4,1259,1059,-4,5
2017 Q3,1263,1054,0,4
2017 Q2,1263,1050,13,13
2017 Q1,1250,1037,10,16
2016 Q4,1240,1021,-6,0
2016 Q3,1246,1021,-3,3
2016 Q2,1249,1018,1,8
2016 Q1,1248,1010,17,14
2015 Q4,1231,996,3,2
2015 Q3,1228,994,0,4
2015 Q2,1228,990,6,12
2015 Q1,1222,978,24,13
2014 Q4,1198,965,10,5
2014 Q3,1188,960,2,4
2014 Q2,1186,956,1,6
2014 Q1,1185,950,-2,4
2013 Q4,1187,946,0,4
2013 Q3,1187,942,-1,4
2013 Q2,1188,938,13,9
2013 Q1,1175,929,2,6
2012 Q4,1173,923,-4,2
2012 Q3,1177,921,-1,4
2012 Q2,1178,917,2,3
2012 Q1,1176,914,-4,2
2011 Q4,1180,912,-2,3
2011 Q3,1182,909,-4,2
2011 Q2,1186,907,-12,2
2011 Q1,1198,905,-16,-2
2010 Q4,1214,907,-24,-11
2010 Q3,1238,918,-11,-6
2010 Q2,1249,924,6,5
2010 Q1,1243,919,-3,-1
2009 Q4,1246,920,-16,-5
2009 Q3,1262,925,-11,0
2009 Q2,1273,925,-6,1
2009 Q1,1279,924,2,-5
2008 Q4,1277,929,24,-4
2008 Q3,1253,933,-16,2
2008 Q2,1269,931,-7,7
2008 Q1,1276,924,-9,3
2007 Q4,1285,921,-16,0
2007 Q3,1301,921,-3,4
2007 Q2,1304,917,1,11
2007 Q1,1303,906,-3,7
2006 Q4,1306,899,11,4
2006 Q3,1295,895,1,8
2006 Q2,1294,887,10,15
2006 Q1,1284,872,7,10
2005 Q4,1277,862,-10,1
2005 Q3,1287,861,-11,6
2005 Q2,1298,855,4,8
2005 Q1,1294,847,-2,3
2004 Q4,1296,844,-15,-1
2004 Q3,1311,845,-2,4
2004 Q2,1313,841,3,9
2004 Q1,1310,832,-4,4
2003 Q4,1314,828,-7,-1
2003 Q3,1321,829,-13,-2
2003 Q2,1334,831,9,4
2003 Q1,1325,827,-5,5
2002 Q4,1330,822,-7,1
2002 Q3,1337,821,-8,0
2002 Q2,1345,821,-7,2
2002 Q1,1352,819,1,3
2001 Q4,1351,816,10,5
2001 Q3,1341,811,7,7
2001 Q2,1334,804,10,11
2001 Q1,1324,793,-2,7
2000 Q4,1326,786,-2,4
2000 Q3,1328,782,-2,6
2000 Q2,1330,776,1,7
2000 Q1,1329,769,,
