year,geography,month,month_num,ratio
2020,Region,Jan,1,
2020,Region,Feb,2,
2020,Region,Mar,3,
2020,Region,Apr,4,
2020,Region,May,5,
2020,Region,Jun,6,
2020,Region,Jul,7,100.00%
2020,Region,Aug,8,100.00%
2020,Region,Sep,9,100.00%
2020,Region,Oct,10,100.00%
2020,Region,Nov,11,100.00%
2020,Region,Dec,12,100.00%
2021,Region,Jan,1,100.00%
2021,Region,Feb,2,100.20%
2021,Region,Mar,3,101.40%
2021,Region,Apr,4,102.80%
2021,Region,May,5,103.80%
2021,Region,Jun,6,103.60%
2021,Region,Jul,7,102.90%
2021,Region,Aug,8,102.10%
2021,Region,Sep,9,101.20%
2021,Region,Oct,10,101.10%
2021,Region,Nov,11,101.20%
2021,Region,Dec,12,100.20%
2022,Region,Jan,1,100.50%
2022,Region,Feb,2,102.50%
2022,Region,Mar,3,103.40%
2022,Region,Apr,4,105.40%
2022,Region,May,5,105.60%
2022,Region,Jun,6,104.00%
2022,Region,Jul,7,103.30%
2022,Region,Aug,8,
2022,Region,Sep,9,
2022,Region,Oct,10,
2022,Region,Nov,11,
2022,Region,Dec,12,
2020,Chesterfield,Jan,1,
2020,Chesterfield,Feb,2,
2020,Chesterfield,Mar,3,
2020,Chesterfield,Apr,4,
2020,Chesterfield,May,5,
2020,Chesterfield,Jun,6,
2020,Chesterfield,Jul,7,100.00%
2020,Chesterfield,Aug,8,100.00%
2020,Chesterfield,Sep,9,100.00%
2020,Chesterfield,Oct,10,100.00%
2020,Chesterfield,Nov,11,100.30%
2020,Chesterfield,Dec,12,100.70%
2021,Chesterfield,Jan,1,100.00%
2021,Chesterfield,Feb,2,100.70%
2021,Chesterfield,Mar,3,101.60%
2021,Chesterfield,Apr,4,102.90%
2021,Chesterfield,May,5,103.90%
2021,Chesterfield,Jun,6,103.60%
2021,Chesterfield,Jul,7,103.50%
2021,Chesterfield,Aug,8,102.80%
2021,Chesterfield,Sep,9,101.50%
2021,Chesterfield,Oct,10,101.40%
2021,Chesterfield,Nov,11,101.80%
2021,Chesterfield,Dec,12,101.20%
2022,Chesterfield,Jan,1,101.40%
2022,Chesterfield,Feb,2,102.90%
2022,Chesterfield,Mar,3,104.10%
2022,Chesterfield,Apr,4,105.80%
2022,Chesterfield,May,5,106.10%
2022,Chesterfield,Jun,6,103.80%
2022,Chesterfield,Jul,7,103.60%
2022,Chesterfield,Aug,8,
2022,Chesterfield,Sep,9,
2022,Chesterfield,Oct,10,
2022,Chesterfield,Nov,11,
2022,Chesterfield,Dec,12,
2020,Hanover,Jan,1,
2020,Hanover,Feb,2,
2020,Hanover,Mar,3,
2020,Hanover,Apr,4,
2020,Hanover,May,5,
2020,Hanover,Jun,6,
2020,Hanover,Jul,7,100.00%
2020,Hanover,Aug,8,100.00%
2020,Hanover,Sep,9,100.00%
2020,Hanover,Oct,10,100.00%
2020,Hanover,Nov,11,100.00%
2020,Hanover,Dec,12,100.00%
2021,Hanover,Jan,1,100.00%
2021,Hanover,Feb,2,100.00%
2021,Hanover,Mar,3,101.00%
2021,Hanover,Apr,4,101.50%
2021,Hanover,May,5,101.60%
2021,Hanover,Jun,6,102.70%
2021,Hanover,Jul,7,101.00%
2021,Hanover,Aug,8,100.00%
2021,Hanover,Sep,9,101.10%
2021,Hanover,Oct,10,100.20%
2021,Hanover,Nov,11,100.40%
2021,Hanover,Dec,12,100.00%
2022,Hanover,Jan,1,100.00%
2022,Hanover,Feb,2,101.00%
