Property Address,County Name,State,Zip,Property Name,Building Status,Number Of Units,Style,Star Rating,Market Name,Year Built,Year Renovated,Building Park,Total Buildings,Zoning,Number Of Stories,Vacancy %,Avg Unit SF,Avg Asking/Unit,Market Segment,Latitude,Longitude
3201 Chamberlayne Ave,Richmond City,VA,23227,Oxford Square Apartments,Existing,20,Low-Rise,2,Richmond,1995,,,2,R-48,2,3.18,875,562,All,37.5756451,-77.4452887
706 N 2nd St,Richmond City,VA,23219,,Existing,5,Low-Rise,2,Richmond,1994,,,3,B-3,2,3.32,,,All,37.5485740,-77.4366439
5520-5620 Handel Ct,Chesterfield,VA,23234,Pocoshock Ridge Apartments,Existing,156,Garden,2,Richmond,1989,,,9,,2,3.76,895,,All,37.4623150,-77.5023410
3201 Lady Marian Ln,Chesterfield,VA,23113,,Existing,1,Low-Rise,2,Richmond,1989,,,1,R40,2,4.09,4139,,All,37.5379157,-77.6108209
2513 Ford Ave,Richmond City,VA,23223-3817,,Existing,1,Single-Family Home,2,Richmond,1988,,,1,R-6,1,5.16,768,,All,37.5496096,-77.4158340
7240 Elm Tree Ter,Hanover,VA,23111,Windmill Way Apartments,Existing,50,Garden,2,Richmond,1987,1998,,12,R5,3,0.13,815,1228,All,37.6029017,-77.3811595
11800 Lake Falls Dr,Chesterfield,VA,23831,Waterside at Ironbridge,Existing,265,Garden,2,Richmond,1987,,,22,R7,3,2.38,893,1317,All,37.3572442,-77.4906285
10267 Lakeridge Square Ct,Hanover,VA,23005,LakeRidge Square Apartments,Existing,156,Garden,2,Richmond,1987,,,13,R5,3,2.10,1022,1648,All,37.6898193,-77.4571594
3502 Maryland Ave,Richmond City,VA,23222-2933,,Existing,2,,2,Richmond,1987,,,1,R-6,1,6.12,,,All,37.5785700,-77.4178779
3612 Lawson St,Richmond City,VA,23224-1860,,Existing,1,Single-Family Home,2,Richmond,1987,,,1,R-5,1,4.00,,,All,37.5054000,-77.4697100
1500 Concord Ave,Chesterfield,VA,23834-3059,Concord Apartments,Existing,32,Low-Rise,2,Richmond,1985,,,1,R4,2,,1000,778,All,37.2546040,-77.4159060
5601 Goldthread Ln,Henrico,VA,23228,Amber Ridge Apartments,Existing,115,Garden,2,Richmond,1985,2004,,15,R-5,1,1.74,513,1266,All,37.6326783,-77.5215539
3500 Kings Dr,Henrico,VA,23231,Honeybrook Apartments,Existing,128,Garden,2,Richmond,1985,,,13,R5,3,3.15,932,1159,All,37.5284850,-77.3652520
102 Water Oak Ln,Hanover,VA,23005,Sedgefield,Existing,262,,2,Richmond,1984,,,,PMH,1,0.91,,,,37.7531162,-77.4690325
2918 Idlewood Ave,Richmond City,VA,23221-3546,,Existing,6,Low-Rise,2,Richmond,1980,,,1,R-53,3,3.33,900,,All,37.5502703,-77.4798755
2310 Lamb Ave,Richmond City,VA,23222-4410,,Existing,1,Single-Family Home,2,Richmond,1980,,,1,,3,6.11,,,All,37.5638688,-77.4311520
11-15 S Randolph St,Richmond City,VA,23220,,Existing,6,Low-Rise,2,Richmond,1980,,,1,R-63,1,3.33,,,All,37.5455855,-77.4582327
3117 Meadowbridge Rd,Richmond City,VA,23222-3140,,Existing,14,,2,Richmond,1979,,,,R-02,2,6.11,,,All,37.5740489,-77.4205563
10 Shawn Ct,Henrico,VA,23075,Cedarwood Manor,Existing,152,Garden,2,Richmond,1979,,,15,R5,2,0.04,856,908,All,37.5317940,-77.3130360
4001 Midlothian Tpke,Richmond City,VA,23224-1325,,Existing,1,,2,Richmond,1979,,,1,R-4,,4.00,,,All,37.5098400,-77.4785700
