Period,Current Search
2022 Q3 QTD,"$1,173 "
2022 Q2,"$1,186 "
2022 Q1,"$1,188 "
2021 Q4,"$1,162 "
2021 Q3,"$1,161 "
2021 Q2,"$1,151 "
2021 Q1,"$1,143 "
2020 Q4,"$1,125 "
2020 Q3,"$1,111 "
2020 Q2,"$1,101 "
2020 Q1,"$1,070 "
2019 Q4,"$1,056 "
2019 Q3,"$1,065 "
2019 Q2,"$1,062 "
2019 Q1,"$1,047 "
2018 Q4,"$1,035 "
2018 Q3,"$1,034 "
2018 Q2,"$1,032 "
2018 Q1,"$1,018 "
2017 Q4,"$1,008 "
2017 Q3,"$1,007 "
2017 Q2,"$1,011 "
2017 Q1,$995 
2016 Q4,$982 
2016 Q3,$983 
2016 Q2,$986 
2016 Q1,$991 
2015 Q4,$974 
2015 Q3,$971 
2015 Q2,$968 
2015 Q1,$964 
2014 Q4,$939 
2014 Q3,$928 
2014 Q2,$925 
2014 Q1,$926 
2013 Q4,$927 
2013 Q3,$927 
2013 Q2,$928 
2013 Q1,$917 
2012 Q4,$914 
2012 Q3,$917 
2012 Q2,$920 
2012 Q1,$916 
2011 Q4,$920 
2011 Q3,$919 
2011 Q2,$924 
2011 Q1,$931 
2010 Q4,$943 
2010 Q3,$960 
2010 Q2,$975 
2010 Q1,$963 
2009 Q4,$965 
2009 Q3,$974 
2009 Q2,$985 
2009 Q1,$992 
2008 Q4,$987 
2008 Q3,$971 
2008 Q2,$988 
2008 Q1,$993 
2007 Q4,"$1,001 "
2007 Q3,"$1,010 "
2007 Q2,"$1,012 "
2007 Q1,"$1,011 "
2006 Q4,"$1,014 "
2006 Q3,"$1,006 "
2006 Q2,"$1,005 "
2006 Q1,$999 
2005 Q4,$994 
2005 Q3,"$1,001 "
2005 Q2,"$1,010 "
2005 Q1,"$1,007 "
2004 Q4,"$1,014 "
2004 Q3,"$1,019 "
2004 Q2,"$1,021 "
2004 Q1,"$1,018 "
2003 Q4,"$1,022 "
2003 Q3,"$1,026 "
2003 Q2,"$1,035 "
2003 Q1,"$1,027 "
2002 Q4,"$1,033 "
2002 Q3,"$1,039 "
2002 Q2,"$1,045 "
2002 Q1,"$1,050 "
2001 Q4,"$1,048 "
2001 Q3,"$1,041 "
2001 Q2,"$1,037 "
2001 Q1,"$1,029 "
2000 Q4,"$1,029 "
2000 Q3,"$1,030 "
2000 Q2,"$1,032 "
2000 Q1,"$1,031 "
