period,inf_adj,rent
2022 Q3 QTD,"$1,173 ","$1,173 "
2022 Q2,"$1,185 ","$1,171 "
2022 Q1,"$1,187 ","$1,148 "
2021 Q4,"$1,161 ","$1,098 "
2021 Q3,"$1,161 ","$1,077 "
2021 Q2,"$1,151 ","$1,050 "
2021 Q1,"$1,142 ","$1,022 "
2020 Q4,"$1,127 ",$998 
2020 Q3,"$1,112 ",$980 
2020 Q2,"$1,101 ",$959 
2020 Q1,"$1,069 ",$939 
2019 Q4,"$1,055 ",$924 
2019 Q3,"$1,065 ",$927 
2019 Q2,"$1,062 ",$921 
2019 Q1,"$1,047 ",$901 
2018 Q4,"$1,035 ",$888 
2018 Q3,"$1,034 ",$885 
2018 Q2,"$1,033 ",$879 
2018 Q1,"$1,019 ",$862 
2017 Q4,"$1,009 ",$847 
2017 Q3,"$1,008 ",$840 
2017 Q2,"$1,012 ",$839 
2017 Q1,$996 ,$825 
2016 Q4,$982 ,$808 
2016 Q3,$983 ,$803 
2016 Q2,$986 ,$803 
2016 Q1,$991 ,$800 
2015 Q4,$974 ,$787 
2015 Q3,$971 ,$785 
2015 Q2,$968 ,$779 
2015 Q1,$964 ,$771 
2014 Q4,$940 ,$757 
2014 Q3,$929 ,$749 
2014 Q2,$926 ,$745 
2014 Q1,$928 ,$742 
2013 Q4,$928 ,$738 
2013 Q3,$928 ,$735 
2013 Q2,$929 ,$732 
2013 Q1,$919 ,$725 
2012 Q4,$916 ,$719 
2012 Q3,$918 ,$717 
2012 Q2,$921 ,$715 
2012 Q1,$917 ,$711 
2011 Q4,$921 ,$710 
2011 Q3,$920 ,$706 
2011 Q2,$925 ,$705 
2011 Q1,$932 ,$703 
2010 Q4,$944 ,$705 
2010 Q3,$962 ,$712 
2010 Q2,$976 ,$720 
2010 Q1,$964 ,$712 
2009 Q4,$967 ,$713 
2009 Q3,$975 ,$713 
2009 Q2,$987 ,$716 
2009 Q1,$993 ,$716 
2008 Q4,$989 ,$718 
2008 Q3,$972 ,$723 
2008 Q2,$990 ,$725 
2008 Q1,$995 ,$719 
2007 Q4,"$1,002 ",$716 
2007 Q3,"$1,012 ",$714 
2007 Q2,"$1,013 ",$711 
2007 Q1,"$1,013 ",$703 
2006 Q4,"$1,016 ",$698 
2006 Q3,"$1,008 ",$695 
2006 Q2,"$1,007 ",$688 
2006 Q1,"$1,000 ",$678 
2005 Q4,$995 ,$671 
2005 Q3,"$1,003 ",$669 
2005 Q2,"$1,011 ",$665 
2005 Q1,"$1,009 ",$659 
2004 Q4,"$1,015 ",$660 
2004 Q3,"$1,020 ",$656 
2004 Q2,"$1,022 ",$653 
2004 Q1,"$1,019 ",$646 
2003 Q4,"$1,023 ",$643 
2003 Q3,"$1,027 ",$644 
2003 Q2,"$1,036 ",$644 
2003 Q1,"$1,028 ",$640 
2002 Q4,"$1,034 ",$637 
2002 Q3,"$1,040 ",$638 
2002 Q2,"$1,046 ",$638 
2002 Q1,"$1,051 ",$635 
2001 Q4,"$1,049 ",$632 
2001 Q3,"$1,042 ",$629 
2001 Q2,"$1,038 ",$624 
2001 Q1,"$1,030 ",$615 
2000 Q4,"$1,030 ",$610 
2000 Q3,"$1,032 ",$606 
2000 Q2,"$1,033 ",$602 
2000 Q1,"$1,032 ",$596 
