Month,"Sale Price, Median 2017","Sale Price, Median 2018","Sale Price, Median 2019","Sale Price, Median 2020","Sale Price, Median 2021","Sale Price, Median 2022"
Jan,"$300,460 ","$365,106 ","$340,480 ","$356,930 ","$356,871 ","$458,730 "
Feb,"$334,000 ","$344,179 ","$365,000 ","$373,037 ","$376,520 ","$455,317 "
Mar,"$335,035 ","$362,918 ","$345,582 ","$363,990 ","$393,475 ","$430,271 "
Apr,"$334,300 ","$348,000 ","$359,292 ","$358,998 ","$414,380 ","$465,195 "
May,"$335,000 ","$350,361 ","$359,935 ","$356,500 ","$408,811 ","$435,610 "
Jun,"$349,950 ","$356,810 ","$350,245 ","$352,025 ","$392,446 ","$431,490 "
Jul,"$364,938 ","$379,123 ","$370,364 ","$357,915 ","$393,193 ","$469,900 "
Aug,"$339,820 ","$377,446 ","$372,536 ","$364,845 ","$389,450 ","$510,363 "
Sep,"$342,633 ","$350,442 ","$369,000 ","$366,262 ","$414,060 ",
Oct,"$341,119 ","$364,944 ","$358,950 ","$364,878 ","$406,895 ",
Nov,"$355,281 ","$367,975 ","$367,271 ","$367,000 ","$412,653 ",
Dec,"$340,475 ","$365,611 ","$357,725 ","$376,085 ","$402,973 ",
