Month,"Sales, Number of 2017","Sales, Number of 2018","Sales, Number of 2019","Sales, Number of 2020","Sales, Number of 2021","Sales, Number of 2022"
Jan,563,605,584,569,762,667
Feb,547,582,612,632,690,614
Mar,911,882,873,808,964,900
Apr,947,932,918,921,999,979
May,"1,141","1,115","1,161","1,010","1,153","1,055"
Jun,"1,347","1,250","1,227","1,159","1,326","1,187"
Jul,"1,014","1,159","1,193","1,198","1,348","1,045"
Aug,"1,074","1,110","1,090","1,127","1,287",998
Sep,910,786,826,"1,119","1,140",
Oct,846,871,827,"1,197","1,073",
Nov,864,761,750,"1,020","1,053",
Dec,862,729,790,"1,100","1,067",
