Period,Studio,1 Bed,2 Beds,3 Beds
2022 Q3 QTD,"$1,124 ","$1,272 ","$1,419 ","$1,650 "
2022 Q2,"$1,138 ","$1,282 ","$1,435 ","$1,671 "
2022 Q1,"$1,146 ","$1,282 ","$1,435 ","$1,664 "
2021 Q4,"$1,146 ","$1,276 ","$1,407 ","$1,659 "
2021 Q3,"$1,158 ","$1,278 ","$1,434 ","$1,677 "
2021 Q2,"$1,130 ","$1,273 ","$1,419 ","$1,661 "
2021 Q1,"$1,124 ","$1,250 ","$1,383 ","$1,623 "
2020 Q4,"$1,125 ","$1,234 ","$1,365 ","$1,605 "
2020 Q3,"$1,138 ","$1,237 ","$1,361 ","$1,597 "
2020 Q2,"$1,135 ","$1,240 ","$1,357 ","$1,595 "
2020 Q1,"$1,119 ","$1,213 ","$1,317 ","$1,549 "
2019 Q4,"$1,109 ","$1,208 ","$1,306 ","$1,532 "
2019 Q3,"$1,111 ","$1,214 ","$1,314 ","$1,532 "
2019 Q2,"$1,110 ","$1,222 ","$1,326 ","$1,540 "
2019 Q1,"$1,104 ","$1,216 ","$1,315 ","$1,529 "
2018 Q4,"$1,099 ","$1,203 ","$1,296 ","$1,508 "
2018 Q3,"$1,101 ","$1,204 ","$1,296 ","$1,504 "
2018 Q2,"$1,097 ","$1,206 ","$1,299 ","$1,512 "
2018 Q1,"$1,095 ","$1,194 ","$1,284 ","$1,487 "
2017 Q4,"$1,097 ","$1,189 ","$1,274 ","$1,488 "
2017 Q3,"$1,095 ","$1,193 ","$1,278 ","$1,493 "
2017 Q2,"$1,099 ","$1,196 ","$1,276 ","$1,493 "
2017 Q1,"$1,092 ","$1,183 ","$1,261 ","$1,483 "
2016 Q4,"$1,094 ","$1,179 ","$1,247 ","$1,467 "
2016 Q3,"$1,091 ","$1,184 ","$1,257 ","$1,469 "
2016 Q2,"$1,088 ","$1,185 ","$1,259 ","$1,475 "
2016 Q1,"$1,092 ","$1,183 ","$1,260 ","$1,475 "
2015 Q4,"$1,080 ","$1,169 ","$1,241 ","$1,453 "
2015 Q3,"$1,075 ","$1,166 ","$1,239 ","$1,448 "
2015 Q2,"$1,068 ","$1,165 ","$1,239 ","$1,445 "
2015 Q1,"$1,066 ","$1,158 ","$1,235 ","$1,432 "
2014 Q4,"$1,053 ","$1,140 ","$1,207 ","$1,404 "
