FY,County_Name,avg_mort_rate,80pctami,affordable_monthly_pymnt_80pctami,max_home_price_80pctAMI,total_sales_80pctami,total_sales_all,starter_homes_pct
2013,Accomack County,0.0398,33850,790,"171,852",138,213,0.65
2013,Albemarle County,0.0398,49600,"1,157","251,813",482,"1,430",0.34
2013,Alexandria city,0.0398,53400,"1,246","271,105",529,"2,410",0.22
2013,Alleghany County,0.0398,35100,819,"178,198",31,35,0.89
2013,Amelia County,0.0398,47300,"1,104","240,136",87,105,0.83
2013,Amherst County,0.0398,37050,865,"188,098",189,252,0.75
2013,Appomattox County,0.0398,37050,865,"188,098",68,78,0.87
2013,Arlington County,0.0398,53400,"1,246","271,105",338,"2,985",0.11
2013,Augusta County,0.0398,40150,937,"203,837",500,854,0.59
2013,Bath County,0.0398,34700,810,"176,168",8,13,0.62
2013,Bedford city,0.0398,37050,865,"188,098",40,44,0.91
2013,Bedford County,0.0398,37050,865,"188,098",422,911,0.46
2013,Bland County,0.0398,33050,771,"167,791",19,23,0.83
2013,Botetourt County,0.0398,40750,951,"206,883",205,397,0.52
2013,Bristol city,0.0398,31200,728,"158,399",15,18,0.83
2013,Brunswick County,0.0398,33050,771,"167,791",16,21,0.76
2013,Buchanan County,0.0398,33050,771,"167,791",25,26,0.96
2013,Buckingham County,0.0398,33050,771,"167,791",32,42,0.76
2013,Buena Vista city,0.0398,35400,826,"179,721",56,63,0.89
2013,Campbell County,0.0398,37050,865,"188,098",365,485,0.75
2013,Caroline County,0.0398,47300,"1,104","240,136",429,482,0.89
2013,Carroll County,0.0398,33050,771,"167,791",139,167,0.83
2013,Charles City County,0.0398,47300,"1,104","240,136",17,20,0.85
2013,Charlotte County,0.0398,33050,771,"167,791",17,22,0.77
2013,Charlottesville city,0.0398,49600,"1,157","251,813",254,508,0.50
2013,Chesapeake city,0.0398,46950,"1,096","238,359","1,799","3,493",0.52
2013,Chesterfield County,0.0398,47300,"1,104","240,136","2,897","4,587",0.63
2013,Clarke County,0.0398,53400,"1,246","271,105",74,175,0.42
2013,Clifton Forge city,0.0398,35100,819,"178,198",0,0,0.00
2013,Colonial Heights city,0.0398,47300,"1,104","240,136",137,150,0.91
2013,Covington city,0.0398,35100,819,"178,198",5,8,0.63
2013,Craig County,0.0398,40750,951,"206,883",22,30,0.73
2013,Culpeper County,0.0398,51350,"1,198","260,698",439,639,0.69
2013,Cumberland County,0.0398,47300,"1,104","240,136",41,49,0.84
2013,Danville city,0.0398,33050,771,"167,791",273,345,0.79
2013,Dickenson County,0.0398,33050,771,"167,791",3,3,1.00
2013,Dinwiddie County,0.0398,47300,"1,104","240,136",192,213,0.90
